Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,MeetCountry,MeetState,MeetName,Federation,Date,Sanctioned
Amy Clair,F,SBD,Raw,36.0,Open,75.54,76,132.5,142.5,150.0,82.5,90.0,95.0,140.0,160.0,-167.5,405.0,1,392.97,383.29,337.07,80.08,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Ruby Olthoff,F,SBD,Raw,17.0,Sub-Junior,69.44,76,135.0,140.0,-145.0,70.0,75.0,77.5,160.0,167.5,175.0,392.5,1,398.71,392.65,346.18,81.03,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Wai Hang Wong,M,SBD,Raw,21.0,Junior,70.64,74,185.0,195.0,205.0,105.0,112.5,-117.5,200.0,210.0,217.5,535.0,1,399.35,398.16,385.71,80.47,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jonathan Chan #2,M,SBD,Raw,23.0,Junior,81.34,83,195.0,210.0,220.0,130.0,140.0,145.0,215.0,235.0,-245.0,600.0,1,409.74,405.41,390.33,83.91,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Sung Hoon Ok,M,SBD,Raw,22.0,Junior,92.42,93,237.5,250.0,257.5,147.5,155.0,-160.0,257.5,272.5,280.0,692.5,1,441.94,436.32,417.71,90.87,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jaek Coleman,M,SBD,Raw,23.0,Junior,87.4,93,-220.0,230.0,240.0,135.0,-142.5,-142.5,230.0,255.0,265.0,640.0,2,420.11,414.89,398.16,86.33,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Milan Grdosic,M,SBD,Raw,22.0,Junior,102.4,105,185.0,195.0,205.0,120.0,127.5,-135.0,250.0,-267.5,-267.5,582.5,1,354.94,351.26,335.41,72.77,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Yao Alexandre Kpade,M,SBD,Raw,19.0,Junior,97.42,105,-200.0,-200.0,-212.5,140.0,147.5,152.5,195.0,210.0,-217.5,,DQ,,,,,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
John Holland,M,SBD,Raw,76.0,Masters 4,91.26,93,90.0,95.0,-100.0,90.0,95.0,100.0,130.0,145.0,155.0,350.0,1,224.75,221.89,212.53,46.21,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Paul Leikas,M,SBD,Raw,28.0,Special Olympics,65.84,66,-45.0,45.0,55.0,50.0,-60.0,-60.0,65.0,-75.0,-75.0,170.0,1,133.44,133.75,129.98,26.53,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Ben Paior-Smith,M,SBD,Raw,24.0,Special Olympics,90.4,93,75.0,95.0,100.0,55.0,70.0,75.0,75.0,95.0,-105.0,270.0,1,174.19,171.98,164.79,35.82,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
William Turner #4,M,SBD,Raw,25.0,Special Olympics,131.52,120+,150.0,-170.0,-170.0,100.0,107.5,112.5,145.0,-160.0,160.0,422.5,1,235.75,238.47,227.65,47.24,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Keiya Shigematsu,M,SBD,Raw,25.0,Open,70.16,74,177.5,190.0,195.0,127.5,135.0,140.0,190.0,205.0,-220.0,540.0,1,404.98,403.96,391.45,81.51,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Paul Tran,M,SBD,Raw,24.0,Open,73.04,74,160.0,172.5,177.5,105.0,112.5,120.0,200.0,212.5,222.5,520.0,2,379.53,377.56,365.22,76.86,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Tony Nguyen #12,M,SBD,Raw,29.0,Open,73.5,74,-140.0,140.0,150.0,110.0,-120.0,-120.0,-190.0,190.0,195.0,455.0,3,330.72,328.87,318.04,67.03,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Yi Hu,M,SBD,Raw,23.0,Open,81.84,83,215.0,230.0,240.0,132.5,137.5,140.0,265.0,285.0,300.0,680.0,1,462.74,457.75,440.6,94.8,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Yiannis Papazis,M,SBD,Raw,29.0,Open,82.44,83,190.0,-205.0,-210.0,140.0,147.5,155.0,230.0,250.0,262.5,607.5,2,411.69,407.15,391.77,84.38,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Darvann Hean,M,SBD,Raw,25.0,Open,82.66,83,200.0,215.0,-220.0,125.0,135.0,-142.5,220.0,235.0,245.0,595.0,3,402.61,398.13,383.05,82.53,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Stephen Nguyen,M,SBD,Raw,24.0,Open,82.42,83,180.0,190.0,200.0,-140.0,-140.0,140.0,240.0,-255.0,-260.0,580.0,4,393.1,388.77,374.09,80.57,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jonathan Caruso,M,SBD,Raw,31.0,Open,92.98,93,225.0,250.0,-275.0,170.0,180.0,185.0,255.0,270.0,295.0,730.0,1,464.51,458.63,438.96,95.51,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
